,0
0,1990-03-16
1,1990-06-15
2,1990-09-21
3,1990-12-21
4,1991-03-15
5,1991-06-21
6,1991-09-20
7,1991-12-20
8,1992-03-20
9,1992-06-19
10,1992-09-18
11,1992-12-18
12,1993-03-19
13,1993-06-18
14,1993-09-17
15,1993-12-17
16,1994-03-18
17,1994-06-17
18,1994-09-16
19,1994-12-16
20,1995-03-17
21,1995-06-16
22,1995-09-15
23,1995-12-15
24,1996-03-15
25,1996-06-21
26,1996-09-20
27,1996-12-20
28,1997-03-21
29,1997-06-20
30,1997-09-19
31,1997-12-19
32,1998-03-20
33,1998-06-19
34,1998-09-18
35,1998-12-18
36,1999-03-19
37,1999-06-18
38,1999-09-17
39,1999-12-17
40,2000-03-17
41,2000-06-16
42,2000-09-15
43,2000-12-15
44,2001-03-16
45,2001-06-15
46,2001-09-21
47,2001-12-21
48,2002-03-15
49,2002-06-21
50,2002-09-20
51,2002-12-20
52,2003-03-21
53,2003-06-20
54,2003-09-19
55,2003-12-19
56,2004-03-19
57,2004-06-18
58,2004-09-17
59,2004-12-17
60,2005-03-18
61,2005-06-17
62,2005-09-16
63,2005-12-16
64,2006-03-17
65,2006-06-16
66,2006-09-15
67,2006-12-15
68,2007-03-16
69,2007-06-15
70,2007-09-21
71,2007-12-21
72,2008-03-21
73,2008-06-20
74,2008-09-19
75,2008-12-19
76,2009-03-20
77,2009-06-19
78,2009-09-18
79,2009-12-18
80,2010-03-19
81,2010-06-18
82,2010-09-17
83,2010-12-17
84,2011-03-18
85,2011-06-17
86,2011-09-16
87,2011-12-16
88,2012-03-16
89,2012-06-15
90,2012-09-21
91,2012-12-21
92,2013-03-15
93,2013-06-21
94,2013-09-20
95,2013-12-20
96,2014-03-21
97,2014-06-20
98,2014-09-19
99,2014-12-19
100,2015-03-20
101,2015-06-19
102,2015-09-18
103,2015-12-18
104,2016-03-18
105,2016-06-17
106,2016-09-16
107,2016-12-16
108,2017-03-17
109,2017-06-16
110,2017-09-15
111,2017-12-15
112,2018-03-16
113,2018-06-15
114,2018-09-21
115,2018-12-21
116,2019-03-15
117,2019-06-21
118,2019-09-20
119,2019-12-20
120,2020-03-20
121,2020-06-19
122,2020-09-18
123,2020-12-18
124,2021-03-19
125,2021-06-18
126,2021-09-17
127,2021-12-17
128,2022-03-18
129,2022-06-17
130,2022-09-16
131,2022-12-16
132,2023-03-17
133,2023-06-16
134,2023-09-15
135,2023-12-15
136,2024-03-15
137,2024-06-21
138,2024-09-20
139,2024-12-20
