Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,138.0,144.0,135.0,137.0,137.0,1378
2018-01-03,138.0,140.0,135.0,136.0,136.0,1304
2018-01-04,138.0,138.0,130.0,131.0,131.0,2032
2018-01-05,131.0,136.0,128.0,131.0,131.0,1887
2018-01-08,131.0,131.0,106.0,125.0,125.0,8909
2018-01-09,126.0,126.0,118.0,119.0,119.0,1729
2018-01-10,116.0,124.0,112.0,116.0,116.0,2937
2018-01-11,122.0,126.0,114.0,119.0,119.0,3585
2018-01-12,120.0,122.0,116.0,120.0,120.0,1644
2018-01-16,119.0,120.0,116.0,117.0,117.0,1259
2018-01-17,117.0,118.0,114.0,114.0,114.0,1059
2018-01-18,114.0,116.0,114.0,115.0,115.0,1060
2018-01-19,119.0,121.0,116.0,118.0,118.0,910
2018-01-22,119.0,122.0,116.0,118.0,118.0,2486
2018-01-23,118.0,119.0,116.0,117.0,117.0,558
2018-01-24,119.0,120.0,116.0,119.0,119.0,1044
2018-01-25,119.0,126.0,115.0,119.0,119.0,13400
2018-01-26,124.0,129.0,120.0,123.0,123.0,7457
2018-01-29,127.0,135.0,121.0,132.0,132.0,10941
2018-01-30,139.0,139.0,123.0,124.0,124.0,3164
2018-01-31,123.0,124.0,116.0,117.0,117.0,2350
2018-02-01,118.0,122.0,115.0,117.0,117.0,1131
2018-02-02,116.0,117.0,114.0,114.0,114.0,1376
2018-02-05,115.0,119.0,114.0,115.0,115.0,1872
2018-02-06,114.0,119.0,114.0,117.0,117.0,1660
2018-02-07,123.0,124.0,115.0,116.0,116.0,2439
2018-02-08,117.0,117.0,114.0,114.0,114.0,1425
2018-02-09,115.0,118.0,114.0,115.0,115.0,1660
2018-02-12,117.0,119.0,115.0,117.0,117.0,958
2018-02-13,116.0,119.0,115.0,116.0,116.0,1057
2018-02-14,117.0,118.0,116.0,117.0,117.0,1472
2018-02-15,117.0,123.0,117.0,122.0,122.0,2391
2018-02-16,123.0,123.0,115.0,115.0,115.0,1641
2018-02-20,115.0,120.0,112.0,117.0,117.0,1554
2018-02-21,116.0,118.0,114.0,117.0,117.0,1498
2018-02-22,116.0,123.0,116.0,119.0,119.0,486
2018-02-23,119.0,120.0,116.0,119.0,119.0,791
2018-02-26,118.0,123.0,116.0,123.0,123.0,977
2018-02-27,123.0,125.0,117.0,117.0,117.0,1514
2018-02-28,123.0,123.0,117.0,118.0,118.0,192
2018-03-01,118.0,119.0,114.0,115.0,115.0,983
2018-03-02,114.0,119.0,114.0,117.0,117.0,885
2018-03-05,117.0,124.0,117.0,120.0,120.0,3195
2018-03-06,125.0,125.0,118.0,122.0,122.0,2383
2018-03-07,122.0,125.0,118.0,122.0,122.0,2663
2018-03-08,124.0,124.0,119.0,120.0,120.0,2147
2018-03-09,122.0,132.0,121.0,124.0,124.0,9273
2018-03-12,126.0,126.0,116.0,120.0,120.0,6059
2018-03-13,120.0,122.0,117.0,117.0,117.0,1314
2018-03-14,118.0,123.0,117.0,117.0,117.0,3344
2018-03-15,123.0,125.0,115.0,117.0,117.0,2409
2018-03-16,117.0,119.0,114.0,117.0,117.0,8952
2018-03-19,132.0,140.0,118.0,119.0,119.0,18740
2018-03-20,118.0,120.0,111.0,115.0,115.0,3924
2018-03-21,114.0,119.0,113.0,118.0,118.0,1273
2018-03-22,120.0,120.0,113.0,116.0,116.0,2054
2018-03-23,119.0,119.0,114.0,117.0,117.0,987
2018-03-26,117.0,118.0,115.0,116.0,116.0,1427
2018-03-27,123.0,123.0,114.0,116.0,116.0,2318
2018-03-28,116.0,118.0,113.0,114.0,114.0,1242
2018-03-29,114.0,114.0,112.0,114.0,114.0,1575
2018-04-02,112.0,114.0,103.0,109.0,109.0,2842
2018-04-03,111.0,113.0,109.0,109.0,109.0,664
2018-04-04,110.0,114.0,108.0,112.0,112.0,1480
2018-04-05,110.0,119.0,110.0,115.0,115.0,1927
2018-04-06,115.0,118.0,114.0,117.0,117.0,1666
2018-04-09,118.0,123.0,112.0,119.0,119.0,3909
2018-04-10,117.0,126.0,117.0,123.0,123.0,2363
2018-04-11,125.0,128.0,118.0,122.0,122.0,1196
2018-04-12,123.0,124.0,119.0,121.0,121.0,1218
2018-04-13,121.0,127.0,120.0,125.0,125.0,2620
2018-04-16,127.0,129.0,118.0,118.0,118.0,4157
2018-04-17,119.0,121.0,116.0,121.0,121.0,2455
2018-04-18,120.0,121.0,117.0,118.0,118.0,376
2018-04-19,118.0,121.0,113.0,113.0,113.0,1259
2018-04-20,114.0,119.0,108.0,109.0,109.0,3477
2018-04-23,111.0,114.0,110.0,110.0,110.0,629
2018-04-24,112.0,114.0,110.0,113.0,113.0,473
2018-04-25,112.0,113.0,110.0,111.0,111.0,346
2018-04-26,113.0,115.0,112.0,113.0,113.0,701
2018-04-27,113.0,116.0,113.0,115.0,115.0,444
2018-04-30,114.0,115.0,113.0,113.0,113.0,98
2018-05-01,113.0,114.0,110.0,114.0,114.0,358
2018-05-02,116.0,120.0,112.0,115.0,115.0,3363
2018-05-03,115.0,117.0,110.0,113.0,113.0,1022
2018-05-04,115.0,115.0,107.0,110.0,110.0,3663
2018-05-07,110.0,114.0,109.0,113.0,113.0,1309
2018-05-08,112.0,114.0,111.0,111.0,111.0,397
2018-05-09,115.0,126.0,111.0,118.0,118.0,17106
2018-05-10,111.0,114.0,110.0,111.0,111.0,2710
2018-05-11,110.0,112.0,105.0,111.0,111.0,2387
2018-05-14,110.0,110.0,105.0,105.0,105.0,2522
2018-05-15,105.0,107.0,104.0,107.0,107.0,1525
2018-05-16,109.0,109.0,104.0,106.0,106.0,927
2018-05-17,106.0,107.0,105.0,106.0,106.0,1036
2018-05-18,105.0,106.0,103.0,106.0,106.0,933
2018-05-21,106.0,107.0,105.0,106.0,106.0,479
2018-05-22,106.0,106.0,101.0,104.0,104.0,1441
2018-05-23,104.0,105.0,95.0,96.0,96.0,6551
2018-05-24,94.0,94.0,84.0,92.0,92.0,4705
2018-05-25,93.0,98.0,90.0,96.0,96.0,1103
2018-05-29,96.0,96.0,89.0,95.0,95.0,905
2018-05-30,93.0,93.0,91.0,91.0,91.0,351
2018-05-31,93.0,96.0,91.0,95.0,95.0,951
2018-06-01,96.0,97.0,93.0,96.0,96.0,434
2018-06-04,93.0,95.0,90.0,91.0,91.0,1045
2018-06-05,93.0,94.0,91.0,92.0,92.0,1252
2018-06-06,117.0,127.0,101.0,102.0,102.0,57102
2018-06-07,119.0,120.0,102.0,105.0,105.0,22954
2018-06-08,104.0,105.0,100.0,101.0,101.0,4575
2018-06-11,100.0,104.0,98.0,101.0,101.0,3384
2018-06-12,99.0,99.0,94.0,95.0,95.0,2323
2018-06-13,99.0,99.0,91.0,92.0,92.0,2193
2018-06-14,93.0,97.0,92.0,93.0,93.0,1157
2018-06-15,90.0,95.0,90.0,95.0,95.0,1235
2018-06-18,90.0,91.0,84.0,85.0,85.0,6002
2018-06-19,85.0,93.0,85.0,86.0,86.0,3172
2018-06-20,87.0,89.0,81.0,83.0,83.0,5460
2018-06-21,82.0,83.0,72.0,75.0,75.0,6257
2018-06-22,76.0,80.0,75.0,76.0,76.0,2616
2018-06-25,77.0,80.0,71.0,71.0,71.0,2569
2018-06-26,72.0,72.0,65.0,67.0,67.0,1736
2018-06-27,67.0,73.0,67.0,69.0,69.0,2577
2018-06-28,71.0,75.0,61.0,66.0,66.0,4803
2018-06-29,65.0,66.0,61.0,62.0,62.0,3929
2018-07-02,60.0,62.0,58.0,60.0,60.0,2185
2018-07-03,60.0,62.0,57.0,60.0,60.0,1096
2018-07-05,64.0,69.0,59.0,61.0,61.0,4022
2018-07-06,62.0,63.0,60.0,60.0,60.0,3508
2018-07-09,70.0,82.0,63.0,73.0,73.0,15550
2018-07-10,73.0,82.0,70.0,79.0,79.0,12599
2018-07-11,80.0,80.0,72.0,74.0,74.0,4815
2018-07-12,74.0,77.0,70.0,72.0,72.0,2533
2018-07-13,70.0,74.0,70.0,74.0,74.0,1290
2018-07-16,66.0,82.0,66.0,75.0,75.0,22877
2018-07-17,112.0,127.5999984741211,71.5999984741211,73.80000305175781,73.80000305175781,296720
2018-07-18,79.4000015258789,79.4000015258789,63.5,68.0,68.0,66320
2018-07-19,67.4000015258789,73.5,59.5,62.599998474121094,62.599998474121094,42740
2018-07-20,68.69999694824219,72.69999694824219,63.900001525878906,66.9000015258789,66.9000015258789,29840
