Date,Open,High,Low,Close,Adj Close,Volume
2021-08-27,360.0,361.9525146484375,277.75,299.0,299.0,19869
2021-08-30,265.75,310.0,257.25,286.0,286.0,16139
2021-08-31,278.25,284.0,258.75,277.5,277.5,7614
2021-09-01,271.25,273.5,251.5,254.75,254.75,3251
2021-09-02,254.75,264.375,213.0,216.5,216.5,7834
2021-09-03,218.75,233.0,213.25,214.0,214.0,5157
2021-09-07,224.0,497.0,222.125,320.75,320.75,309219
2021-09-08,292.5,1010.5,267.50250244140625,679.25,679.25,1444844
2021-09-09,621.25,917.25,597.0,623.0,623.0,744153
2021-09-10,730.5,800.0,626.0,664.75,664.75,208992
2021-09-13,833.6624755859375,860.0,660.2525024414062,668.25,668.25,266165
2021-09-14,638.5,647.5,477.5224914550781,519.0,519.0,42959
2021-09-15,498.5,523.75,450.0,462.5,462.5,30030
2021-09-16,489.25,571.25,477.5,489.5,489.5,41886
2021-09-17,492.25,509.5,455.0,482.5,482.5,19238
2021-09-20,463.5,475.1600036621094,437.5,446.5,446.5,15456
2021-09-21,472.75,575.0,465.67498779296875,482.0,482.0,42349
2021-09-22,489.6724853515625,489.6724853515625,453.25,472.25,472.25,11038
2021-09-23,475.0,495.3699951171875,457.75,466.25,466.25,18641
2021-09-24,457.75,460.0,425.5,428.75,428.75,23596
2021-09-27,438.0,449.75,407.25,422.25,422.25,20243
2021-09-28,407.0,417.0,351.29998779296875,356.25,356.25,18649
2021-09-29,363.25,416.75,350.25,365.5,365.5,27273
2021-09-30,356.5,373.25,342.5,351.25,351.25,13191
2021-10-01,351.25,357.75,320.5,328.75,328.75,17902
2021-10-04,323.25,361.0,285.5,305.25,305.25,25281
2021-10-05,309.5,314.75,296.75,303.25,303.25,7667
2021-10-06,277.25,295.75,271.5,284.0,284.0,10166
2021-10-07,288.75,305.0,283.5,287.0,287.0,24161
2021-10-08,335.25,358.75,292.1549987792969,296.0,296.0,94713
2021-10-11,300.5,305.75,254.0,258.75,258.75,26752
2021-10-12,270.75,292.0,266.5,272.5,272.5,15659
2021-10-13,276.5,325.0,268.75,290.5,290.5,30346
2021-10-14,289.5,343.75,281.5,317.5,317.5,37385
2021-10-15,315.0,396.75,308.75,325.25,325.25,47317
2021-10-18,322.0,328.3550109863281,289.0,290.25,290.25,5577
2021-10-19,290.5,307.5,290.5,294.0,294.0,5607
2021-10-20,290.25,303.875,288.0,296.5,296.5,3303
2021-10-21,294.25,299.5,282.25,282.75,282.75,2691
2021-10-22,278.0,281.5,254.0,256.5,256.5,6591
2021-10-25,259.25,272.0,257.5,265.25,265.25,3261
2021-10-26,260.25,282.75,258.25,258.5,258.5,4528
2021-10-27,257.0,282.25,251.25,256.0,256.0,2250
2021-10-28,255.0,261.75,247.0,248.25,248.25,4243
2021-10-29,250.25,251.83749389648438,243.75,249.75,249.75,1478
2021-11-01,249.25,258.75,241.25,254.5,254.5,2587
2021-11-02,250.5,253.80499267578125,241.5,246.75,246.75,3916
2021-11-03,244.5,279.75,244.5,278.25,278.25,5237
2021-11-04,275.25,286.5,270.25,281.0,281.0,3944
2021-11-05,276.25,279.0,252.25,261.75,261.75,9455
2021-11-08,263.75,280.25,263.75,278.0,278.0,8404
2021-11-09,293.75,298.74249267578125,264.25,270.75,270.75,9515
2021-11-10,262.5,271.9700012207031,254.5,255.5,255.5,9106
2021-11-11,256.25,264.7074890136719,248.75,249.5,249.5,2973
2021-11-12,250.0,261.5625,247.625,252.25,252.25,4265
2021-11-15,255.5,255.5,237.5,244.0,244.0,3707
2021-11-16,241.75,241.75,231.25,238.25,238.25,2760
2021-11-17,237.0,237.0,221.25,226.25,226.25,4244
2021-11-18,227.75,230.0,200.25,201.25,201.25,5607
2021-11-19,204.25,212.16250610351562,200.5,201.0,201.0,2752
2021-11-22,203.5,205.25,193.25,195.0,195.0,4699
2021-11-23,190.25,197.5,177.92999267578125,183.5,183.5,2836
2021-11-24,183.5,187.25,175.75,183.75,183.75,4787
2021-11-26,179.0,183.5,168.75,171.75,171.75,3398
2021-11-29,172.5,177.74749755859375,164.77749633789062,169.25,169.25,5174
2021-11-30,168.75,175.99749755859375,153.25,164.5,164.5,10264
2021-12-01,164.5,170.75,148.75,150.25,150.25,8073
2021-12-02,146.0,150.0,137.5,145.0,145.0,3475
2021-12-03,152.75,155.77000427246094,142.75,142.75,142.75,4117
