Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,3877.5,4215.0,3798.75,4177.5,4177.5,542
2018-01-03,4237.5,4387.5,4215.0,4346.25,4346.25,453
2018-01-04,4368.75,4811.25,4361.25,4680.0,4680.0,518
2018-01-05,4650.0,5055.0,4512.0,4601.25,4601.25,870
2018-01-08,4526.25,4590.0,4057.5,4132.5,4132.5,615
2018-01-09,4147.5,4410.0,3956.25,4170.0,4170.0,567
2018-01-10,4147.5,4293.75,4091.25,4237.5,4237.5,221
2018-01-11,4260.0,4441.875,4163.625,4376.25,4376.25,191
2018-01-12,4395.0,4575.0,4331.25,4545.0,4545.0,324
2018-01-16,4582.5,4687.5,4522.5,4623.75,4623.75,442
2018-01-17,4650.0,4650.0,4391.25,4545.0,4545.0,255
2018-01-18,4556.25,4871.25,4395.0,4811.25,4811.25,458
2018-01-19,4796.25,5433.75,4700.625,5295.0,5295.0,624
2018-01-22,5310.0,5497.5,5073.75,5111.25,5111.25,711
2018-01-23,5081.25,5455.875,4972.5,5227.5,5227.5,522
2018-01-24,5250.0,5287.5,4991.25,5261.25,5261.25,367
2018-01-25,5250.0,5433.75,5103.75,5396.25,5396.25,354
2018-01-26,5426.25,5426.25,5017.5,5066.25,5066.25,264
2018-01-29,5085.0,5175.0,4983.75,5032.5,5032.5,186
2018-01-30,5013.75,5079.0,4706.25,4777.5,4777.5,238
2018-01-31,4773.75,5047.5,4747.5,4878.75,4878.75,279
2018-02-01,4882.5,5077.5,4728.75,5021.25,5021.25,347
2018-02-02,4995.0,5017.5,4591.875,4680.0,4680.0,244
2018-02-05,4646.25,4743.75,4445.625,4485.0,4485.0,514
2018-02-06,4481.25,4546.875,4316.25,4488.75,4488.75,465
2018-02-07,4462.5,4717.5,4331.25,4642.5,4642.5,450
2018-02-08,4650.0,4680.0,4308.75,4312.5,4312.5,219
2018-02-09,4357.5,4410.0,4035.0,4263.75,4263.75,500
2018-02-12,4267.5,4443.75,4125.0,4297.5,4297.5,211
2018-02-13,4305.0,4515.0,4215.0,4466.25,4466.25,149
2018-02-14,4421.25,4706.25,4359.0,4590.0,4590.0,258
2018-02-15,4642.5,4665.0,4440.0,4627.5,4627.5,200
2018-02-16,4601.25,4800.0,4599.375,4646.25,4646.25,321
2018-02-20,4597.5,4826.25,4316.25,4365.0,4365.0,489
2018-02-21,4395.0,4643.625,4301.25,4320.0,4320.0,437
2018-02-22,4357.5,4391.25,4068.75,4155.0,4155.0,577
2018-02-23,4200.0,4200.0,4038.75,4076.25,4076.25,290
2018-02-26,4117.5,4248.75,4050.0,4188.75,4188.75,186
2018-02-27,4188.75,4252.5,4068.75,4098.75,4098.75,167
2018-02-28,4106.25,4200.0,4048.125,4087.5,4087.5,195
2018-03-01,4083.75,4245.0,3945.0,4196.25,4196.25,435
2018-03-02,4151.25,4563.75,4151.25,4552.5,4552.5,323
2018-03-05,4507.5,4710.0,4470.0,4676.25,4676.25,202
2018-03-06,4732.5,4826.25,4627.5,4788.75,4788.75,184
2018-03-07,4747.5,4837.5,4683.75,4803.75,4803.75,218
2018-03-08,4826.25,4878.75,4657.5,4770.0,4770.0,376
2018-03-09,4796.25,4875.0,4642.5,4841.25,4841.25,356
2018-03-12,4875.0,5310.0,4751.25,5130.0,5130.0,714
2018-03-13,4875.0,5310.0,4811.25,4860.0,4860.0,396
2018-03-14,4901.25,4929.0,4676.25,4845.0,4845.0,290
2018-03-15,4875.0,5006.25,4807.5,4905.0,4905.0,198
2018-03-16,4897.5,5139.375,4897.5,5115.0,5115.0,404
2018-03-19,5115.0,5156.25,4811.25,4882.5,4882.5,352
2018-03-20,4897.5,4923.75,4635.0,4672.5,4672.5,268
2018-03-21,4695.0,4912.5,4687.5,4777.5,4777.5,222
2018-03-22,4713.75,4788.75,4601.25,4650.0,4650.0,203
2018-03-23,4695.0,4905.0,4657.5,4740.0,4740.0,265
2018-03-26,4818.75,4830.0,4582.5,4766.25,4766.25,170
2018-03-27,4781.25,4845.0,4470.0,4511.25,4511.25,224
2018-03-28,4511.25,4657.5,4342.5,4455.0,4455.0,370
2018-03-29,4473.75,4552.5,4425.0,4443.75,4443.75,169
2018-04-02,4462.5,4462.5,4200.0,4256.25,4256.25,275
2018-04-03,4278.75,4503.75,4181.25,4271.25,4271.25,214
2018-04-04,4233.75,4372.5,4173.75,4286.25,4286.25,299
2018-04-05,4312.5,4340.625,4166.25,4275.0,4275.0,311
2018-04-06,4252.5,4342.5,4038.75,4121.25,4121.25,336
2018-04-09,4158.75,4237.5,4020.0,4083.75,4083.75,245
2018-04-10,4125.0,4147.5,4061.25,4102.5,4102.5,201
2018-04-11,4087.5,4211.25,4053.75,4136.25,4136.25,300
2018-04-12,4151.25,4268.25,4068.75,4132.5,4132.5,295
2018-04-13,4155.0,4218.75,4038.75,4110.0,4110.0,274
2018-04-16,4121.25,4132.5,3825.0,3843.75,3843.75,394
2018-04-17,3877.5,3922.5,3817.5,3832.5,3832.5,231
2018-04-18,3862.5,4106.25,3858.75,4050.0,4050.0,317
2018-04-19,4125.0,4312.5,3922.5,3930.0,3930.0,380
2018-04-20,3896.25,4005.0,3828.75,3903.75,3903.75,237
2018-04-23,3918.75,3941.25,3787.5,3873.75,3873.75,285
2018-04-24,3873.75,4012.5,3750.0,3795.0,3795.0,251
2018-04-25,3847.5,3847.5,3675.0,3693.75,3693.75,298
2018-04-26,3738.75,3757.5,3645.0,3697.5,3697.5,190
2018-04-27,3708.75,3712.5,3525.0,3592.5,3592.5,277
2018-04-30,3633.75,3798.75,3461.25,3468.75,3468.75,223
2018-05-01,3465.0,3596.25,3337.5,3438.75,3438.75,405
2018-05-02,3438.75,3697.5,3412.5,3577.5,3577.5,348
2018-05-03,3577.5,3744.375,3352.5,3461.25,3461.25,359
2018-05-04,3442.5,3521.25,3330.0,3435.0,3435.0,349
2018-05-07,3446.25,3480.0,3412.5,3435.0,3435.0,179
2018-05-08,3427.5,3427.5,3292.125,3363.75,3363.75,279
2018-05-09,3371.25,3461.25,3333.75,3427.5,3427.5,314
2018-05-10,3427.5,3521.25,3360.0,3435.0,3435.0,235
2018-05-11,3427.5,3510.0,3375.0,3472.5,3472.5,371
2018-05-14,3495.0,3690.375,3461.25,3562.5,3562.5,514
2018-05-15,3562.5,3652.5,3480.0,3543.75,3543.75,237
2018-05-16,3615.0,3693.75,3577.5,3686.25,3686.25,615
2018-05-17,3686.25,3750.0,3648.75,3712.5,3712.5,367
2018-05-18,3731.25,3742.5,3532.5,3540.0,3540.0,333
2018-05-21,3558.75,3600.0,3498.75,3540.0,3540.0,210
2018-05-22,3558.75,3607.5,3495.75,3570.0,3570.0,148
2018-05-23,3600.0,3716.25,3570.0,3588.75,3588.75,151
2018-05-24,3592.5,3611.25,3401.25,3446.25,3446.25,231
2018-05-25,3435.0,3487.5,3401.25,3468.75,3468.75,133
2018-05-29,3453.75,3525.0,3401.25,3510.0,3510.0,150
2018-05-30,3525.0,3641.25,3446.25,3528.75,3528.75,268
