Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,2250.0,2400.0,2175.0,2175.0,2175.0,235
2018-01-03,2175.0,2175.0,2025.0,2100.0,2100.0,84
2018-01-04,2100.0,2100.0,2025.0,2025.0,2025.0,74
2018-01-05,2025.0,4050.0,2025.0,3525.0,3525.0,1040
2018-01-08,3225.0,3600.0,2475.0,2550.0,2550.0,882
2018-01-09,2850.0,3075.0,2700.0,2700.0,2700.0,424
2018-01-10,2700.0,2700.0,2325.0,2550.0,2550.0,230
2018-01-11,2550.0,3150.0,2550.0,2850.0,2850.0,912
2018-01-12,3000.0,3075.0,2550.0,2625.0,2625.0,256
2018-01-16,2850.0,2850.0,2700.0,2775.0,2775.0,191
2018-01-17,2775.0,2850.0,2625.0,2700.0,2700.0,122
2018-01-18,2700.0,3225.0,2700.0,3150.0,3150.0,576
2018-01-19,3150.0,3525.0,3000.0,3000.0,3000.0,825
2018-01-22,3000.0,3150.0,2925.0,3075.0,3075.0,217
2018-01-23,3075.0,3450.0,3075.0,3150.0,3150.0,391
2018-01-24,3225.0,3525.0,3150.0,3525.0,3525.0,273
2018-01-25,3750.0,3900.0,3375.0,3450.0,3450.0,371
2018-01-26,3375.0,3525.0,3225.0,3300.0,3300.0,141
2018-01-29,3300.0,3825.0,3300.0,3750.0,3750.0,554
2018-01-30,3750.0,3750.0,3000.0,3300.0,3300.0,326
2018-01-31,3300.0,3450.0,3150.0,3150.0,3150.0,127
2018-02-01,3300.0,3300.0,2850.0,3000.0,3000.0,186
2018-02-02,2850.0,2925.0,2700.0,2925.0,2925.0,268
2018-02-05,2925.0,2925.0,2475.0,2550.0,2550.0,164
2018-02-06,2550.0,2775.0,2475.0,2700.0,2700.0,116
2018-02-07,2775.0,2775.0,2550.0,2700.0,2700.0,57
2018-02-08,2775.0,2775.0,2475.0,2550.0,2550.0,123
2018-02-09,2550.0,2550.0,2250.0,2400.0,2400.0,243
2018-02-12,2250.0,2475.0,2250.0,2325.0,2325.0,74
2018-02-13,2400.0,2400.0,2250.0,2325.0,2325.0,61
2018-02-14,2325.0,2775.0,2250.0,2700.0,2700.0,243
2018-02-15,2700.0,2775.0,2400.0,2475.0,2475.0,200
2018-02-16,2475.0,2550.0,2400.0,2400.0,2400.0,187
2018-02-20,2400.0,2475.0,2325.0,2400.0,2400.0,64
2018-02-21,2475.0,2625.0,2325.0,2550.0,2550.0,100
2018-02-22,2550.0,2775.0,2475.0,2700.0,2700.0,200
2018-02-23,2700.0,2775.0,2550.0,2625.0,2625.0,64
2018-02-26,2700.0,2700.0,2475.0,2625.0,2625.0,70
2018-02-27,2700.0,2850.0,2625.0,2700.0,2700.0,142
2018-02-28,2775.0,2775.0,2550.0,2550.0,2550.0,59
2018-03-01,2550.0,2700.0,2325.0,2475.0,2475.0,127
2018-03-02,2550.0,2550.0,2400.0,2550.0,2550.0,72
2018-03-05,2550.0,2550.0,2475.0,2475.0,2475.0,64
2018-03-06,2475.0,2550.0,2400.0,2400.0,2400.0,87
2018-03-07,2475.0,2475.0,2325.0,2325.0,2325.0,168
2018-03-08,2325.0,2475.0,2175.0,2400.0,2400.0,308
2018-03-09,2475.0,2475.0,2250.0,2400.0,2400.0,191
2018-03-12,2400.0,2475.0,2250.0,2400.0,2400.0,88
2018-03-13,2400.0,2550.0,2400.0,2475.0,2475.0,84
2018-03-14,2550.0,2625.0,2400.0,2400.0,2400.0,138
2018-03-15,2475.0,2475.0,2325.0,2325.0,2325.0,76
2018-03-16,2400.0,2475.0,2325.0,2400.0,2400.0,61
2018-03-19,2400.0,2475.0,2325.0,2400.0,2400.0,37
2018-03-20,2400.0,2400.0,2325.0,2325.0,2325.0,75
2018-03-21,2325.0,2400.0,2250.0,2400.0,2400.0,110
2018-03-22,2325.0,2475.0,2325.0,2325.0,2325.0,90
2018-03-23,2475.0,2475.0,2325.0,2325.0,2325.0,48
2018-03-26,2325.0,2325.0,2325.0,2325.0,2325.0,44
2018-03-27,2325.0,2325.0,2100.0,2100.0,2100.0,116
2018-03-28,2175.0,2400.0,2100.0,2250.0,2250.0,132
2018-03-29,2250.0,2250.0,2100.0,2175.0,2175.0,52
2018-04-02,2175.0,2175.0,2100.0,2175.0,2175.0,44
2018-04-03,2100.0,2250.0,2025.0,2100.0,2100.0,57
2018-04-04,2100.0,2175.0,2100.0,2175.0,2175.0,30
2018-04-05,2250.0,2250.0,2100.0,2175.0,2175.0,20
2018-04-06,2100.0,2175.0,2100.0,2100.0,2100.0,30
2018-04-09,2100.0,2175.0,2100.0,2100.0,2100.0,18
2018-04-10,2100.0,2175.0,2100.0,2175.0,2175.0,40
2018-04-11,2100.0,2175.0,2100.0,2100.0,2100.0,42
2018-04-12,2100.0,2100.0,2025.0,2100.0,2100.0,29
2018-04-13,2175.0,2175.0,1950.0,2025.0,2025.0,47
2018-04-16,1950.0,2175.0,1950.0,2025.0,2025.0,81
2018-04-17,2025.0,2175.0,2025.0,2175.0,2175.0,30
2018-04-18,2175.0,2175.0,2100.0,2100.0,2100.0,45
2018-04-19,2100.0,2175.0,2100.0,2100.0,2100.0,16
2018-04-20,2175.0,2175.0,2100.0,2175.0,2175.0,32
2018-04-23,2100.0,2250.0,2100.0,2175.0,2175.0,44
2018-04-24,2175.0,2175.0,2100.0,2175.0,2175.0,33
2018-04-25,2175.0,2175.0,2025.0,2100.0,2100.0,34
2018-04-26,2100.0,2175.0,2100.0,2175.0,2175.0,16
2018-04-27,2100.0,2175.0,2100.0,2175.0,2175.0,12
2018-04-30,2100.0,2175.0,2100.0,2100.0,2100.0,29
2018-05-01,2175.0,2175.0,2100.0,2100.0,2100.0,39
2018-05-02,2100.0,2175.0,1875.0,1950.0,1950.0,75
2018-05-03,1875.0,2025.0,1875.0,1875.0,1875.0,112
2018-05-04,1950.0,1950.0,1725.0,1800.0,1800.0,76
2018-05-07,1875.0,1950.0,1800.0,1800.0,1800.0,151
2018-05-08,1950.0,2100.0,1875.0,2025.0,2025.0,77
2018-05-09,2025.0,2250.0,2025.0,2250.0,2250.0,129
2018-05-10,2325.0,2400.0,2100.0,2400.0,2400.0,138
2018-05-11,2175.0,2250.0,1950.0,2100.0,2100.0,104
2018-05-14,2025.0,2250.0,1800.0,2100.0,2100.0,66
2018-05-15,2175.0,2175.0,2025.0,2175.0,2175.0,61
2018-05-16,2175.0,2175.0,2025.0,2100.0,2100.0,43
2018-05-17,2100.0,2175.0,2100.0,2175.0,2175.0,27
2018-05-18,2175.0,2175.0,2100.0,2175.0,2175.0,48
2018-05-21,2175.0,2250.0,1875.0,2025.0,2025.0,41
2018-05-22,1875.0,2100.0,1875.0,2100.0,2100.0,43
2018-05-23,2100.0,2100.0,1950.0,1950.0,1950.0,55
2018-05-24,1552.5,2250.0,1552.5,1792.5,1792.5,1405
2018-05-25,1762.5,2017.5,1687.5,1830.0,1830.0,267
2018-05-29,1867.5,1875.0,1747.5,1762.5,1762.5,92
2018-05-30,1762.5,2025.0,1762.5,1912.5,1912.5,269
2018-05-31,1912.5,2062.5,1897.5,1950.0,1950.0,145
2018-06-01,1980.0,2107.5,1950.0,2092.5,2092.5,108
2018-06-04,2122.5,2122.5,1965.0,2025.0,2025.0,97
2018-06-05,1995.0,1995.0,1935.0,1965.0,1965.0,46
2018-06-06,1957.5,1965.0,1882.5,1905.0,1905.0,45
2018-06-07,1800.0,1897.5,1695.0,1695.0,1695.0,105
2018-06-08,1710.0,1860.0,1687.5,1762.5,1762.5,60
2018-06-11,1762.5,1852.5,1725.0,1777.5,1777.5,83
2018-06-12,1770.0,1837.5,1762.5,1777.5,1777.5,33
2018-06-13,1777.5,1792.5,1740.0,1740.0,1740.0,42
2018-06-14,1740.0,1740.0,1560.0,1560.0,1560.0,251
2018-06-15,1575.0,1575.0,1380.0,1462.5,1462.5,195
2018-06-18,1425.0,1425.0,1312.5,1312.5,1312.5,83
2018-06-19,1282.5,1297.5,1237.5,1237.5,1237.5,128
2018-06-20,1237.5,1395.0,1215.0,1350.0,1350.0,103
2018-06-21,1350.0,1612.5,1350.0,1530.0,1530.0,338
2018-06-22,1642.5,1642.5,1282.5,1417.5,1417.5,388
2018-06-25,1417.5,1440.0,1387.5,1395.0,1395.0,101
2018-06-26,1387.5,1387.5,1245.0,1297.5,1297.5,103
2018-06-27,1267.5,1290.0,1237.5,1252.5,1252.5,51
2018-06-28,1297.5,1380.0,1215.0,1252.5,1252.5,93
2018-06-29,1245.0,1252.5,1087.5,1087.5,1087.5,164
2018-07-02,1087.5,1132.5,1072.5,1102.5,1102.5,310
2018-07-03,1132.5,1132.5,1072.5,1072.5,1072.5,45
2018-07-05,1080.0,1087.5,1072.5,1080.0,1080.0,131
2018-07-06,1072.5,1252.5,1072.5,1237.5,1237.5,337
2018-07-09,1350.0,1410.0,1050.0,1057.5,1057.5,388
2018-07-10,1110.0,1155.0,1057.5,1065.0,1065.0,197
2018-07-11,1050.0,1050.0,930.0,937.5,937.5,535
2018-07-12,915.0,930.0,832.5,885.0,885.0,274
2018-07-13,900.0,900.0,772.5,855.0,855.0,351
2018-07-16,862.5,862.5,765.0,765.0,765.0,247
2018-07-17,757.5,772.5,682.5,727.5,727.5,306
2018-07-18,682.5,757.5,682.5,712.5,712.5,167
2018-07-19,690.0,780.0,690.0,735.0,735.0,269
2018-07-20,697.5,727.5,690.0,712.5,712.5,284
2018-07-23,705.0,727.5,697.5,697.5,697.5,140
2018-07-24,675.0,690.0,637.5,637.5,637.5,273
2018-07-25,660.0,660.0,532.5,540.0,540.0,711
2018-07-26,555.0,555.0,480.0,480.0,480.0,512
2018-07-27,517.5,562.5,487.5,517.5,517.5,559
2018-07-30,540.0,540.0,487.5,540.0,540.0,528
2018-07-31,547.5,555.0,495.0,502.5,502.5,649
2018-08-01,502.5,555.0,487.5,547.5,547.5,1072
2018-08-02,547.5,562.5,502.5,517.5,517.5,2051
2018-08-03,525.0,525.0,390.0,397.5,397.5,2147
2018-08-06,337.5,412.5,337.5,352.5,352.5,675
2018-08-07,360.0,375.0,345.0,360.0,360.0,458
2018-08-08,375.0,375.0,307.5,322.5,322.5,515
2018-08-09,322.5,337.5,315.0,315.0,315.0,643
2018-08-10,322.5,337.5,285.0,292.5,292.5,535
2018-08-13,337.5,337.5,277.5,285.0,285.0,499
