Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,42.5,49.0,42.5,47.0,47.0,432
2018-01-03,46.75,47.0,44.0,47.0,47.0,90
2018-01-04,47.0,47.0,47.0,47.0,47.0,0
2018-01-05,47.5,49.5,46.5,46.5,46.5,60
2018-01-08,44.75,45.0,42.0,45.0,45.0,238
2018-01-09,41.0,41.0,40.0,40.0,40.0,532
2018-01-10,40.0,40.0,40.0,40.0,40.0,0
2018-01-11,47.5,47.5,45.0,45.0,45.0,244
2018-01-12,45.0,45.0,45.0,45.0,45.0,0
2018-01-16,45.0,45.0,45.0,45.0,45.0,120
2018-01-17,45.0,45.0,45.0,45.0,45.0,0
2018-01-18,45.0,45.0,45.0,45.0,45.0,0
2018-01-19,45.0,48.0,45.0,45.0,45.0,62
2018-01-22,45.0,45.0,45.0,45.0,45.0,6
2018-01-23,45.0,45.0,45.0,45.0,45.0,0
2018-01-24,41.150001525878906,42.5,40.0,42.5,42.5,148
2018-01-25,42.5,42.5,35.5,40.5,40.5,546
2018-01-26,39.5,41.0,39.5,41.0,41.0,84
2018-01-29,41.0,41.0,41.0,41.0,41.0,0
2018-01-30,39.75,41.099998474121094,39.75,41.099998474121094,41.099998474121094,204
2018-01-31,40.0,40.0,40.0,40.0,40.0,24
2018-02-01,40.0,45.0,35.5,44.900001525878906,44.900001525878906,222
2018-02-02,35.5,35.599998474121094,35.0,35.0,35.0,522
2018-02-05,35.0,44.79999923706055,35.0,36.45000076293945,36.45000076293945,38
2018-02-06,34.650001525878906,37.0,32.5,37.0,37.0,536
2018-02-07,35.150001525878906,35.150001525878906,33.400001525878906,35.0,35.0,408
2018-02-08,34.0,35.0,32.0,34.25,34.25,1564
2018-02-09,34.25,34.25,34.25,34.25,34.25,0
2018-02-12,37.5,41.5,35.0,35.75,35.75,274
2018-02-13,36.0,36.0,35.0,35.0,35.0,338
2018-02-14,35.0,35.0,30.5,32.5,32.5,992
2018-02-15,32.54999923706055,35.0,30.5,35.0,35.0,1016
2018-02-16,35.0,35.0,35.0,35.0,35.0,0
2018-02-20,35.0,35.0,35.0,35.0,35.0,0
