Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,38.0,50.0,37.5,46.25,46.25,9369
2018-01-03,50.0,60.0,46.25,50.0,50.0,3567
2018-01-04,47.5,57.5,35.75,37.5,37.5,3924
2018-01-05,42.5,48.0,35.5,45.0,45.0,1512
2018-01-08,47.5,56.75,45.0,53.75,53.75,3740
2018-01-09,55.0,55.0,46.0,53.75,53.75,1761
2018-01-10,50.0,53.75,47.5,52.5,52.5,1129
2018-01-11,53.75,53.75,50.0,52.5,52.5,884
2018-01-12,52.5,52.5,46.25,51.25,51.25,858
2018-01-16,47.5,53.75,47.5,47.5,47.5,458
2018-01-17,47.5,50.0,45.5,48.25,48.25,303
2018-01-18,50.0,50.0,45.0,47.5,47.5,268
2018-01-19,48.75,75.0,47.75,72.0,72.0,15533
2018-01-22,72.5,120.0,72.5,100.0,100.0,11292
2018-01-23,108.75,113.25,90.0,104.75,104.75,5546
2018-01-24,103.75,106.75,82.5,86.25,86.25,2925
2018-01-25,91.25,95.0,85.0,85.0,85.0,3090
2018-01-26,88.75,100.0,86.75,92.5,92.5,2761
2018-01-29,96.25,100.0,85.0,87.5,87.5,1110
2018-01-30,85.0,87.5,75.0,79.75,79.75,1406
2018-01-31,81.25,82.5,67.5,75.0,75.0,1774
2018-02-01,75.0,75.0,65.0,71.25,71.25,1742
2018-02-02,71.25,71.25,52.5,63.75,63.75,2770
2018-02-05,50.0,62.5,50.0,62.5,62.5,1228
2018-02-06,62.5,77.5,59.5,76.25,76.25,3406
2018-02-07,75.0,81.25,72.5,75.0,75.0,2058
2018-02-08,75.0,81.25,72.5,75.0,75.0,360
2018-02-09,65.0,98.5,65.0,83.75,83.75,2410
2018-02-12,83.75,99.5,80.0,97.5,97.5,2681
2018-02-13,97.5,97.5,85.0,87.5,87.5,1109
2018-02-14,87.5,87.5,70.0,80.0,80.0,2378
2018-02-15,80.0,93.75,73.75,80.0,80.0,1522
2018-02-16,82.5,82.5,71.25,74.5,74.5,505
2018-02-20,76.25,88.0,72.5,75.0,75.0,1382
2018-02-21,77.5,77.5,72.5,77.5,77.5,459
2018-02-22,72.5,77.5,70.0,70.0,70.0,510
2018-02-23,70.0,71.25,62.5,67.5,67.5,955
