Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,16000.0,16000.0,13760.0,14336.0,14336.0,9
2018-01-03,14464.0,16000.0,14464.0,15104.0,15104.0,7
2018-01-04,15328.0,15968.0,14464.0,15040.0,15040.0,6
2018-01-05,14752.0,15904.0,14528.0,15040.0,15040.0,4
2018-01-08,14784.0,15360.0,14592.0,14752.0,14752.0,3
2018-01-09,14816.0,15040.0,13728.0,14240.0,14240.0,11
2018-01-10,14272.0,14464.0,12544.0,12800.0,12800.0,24
2018-01-11,13280.0,13376.0,12864.0,13120.0,13120.0,8
2018-01-12,13280.0,13728.0,12960.0,13408.0,13408.0,7
2018-01-16,14400.0,14400.0,10240.0,11744.0,11744.0,48
2018-01-17,12352.0,12352.0,11520.0,12000.0,12000.0,13
2018-01-18,12000.0,12160.0,11232.0,11552.0,11552.0,9
2018-01-19,11520.0,11808.0,11200.0,11680.0,11680.0,6
2018-01-22,11520.0,11872.0,11424.0,11776.0,11776.0,13
2018-01-23,11872.0,12800.0,11712.0,11808.0,11808.0,37
2018-01-24,11872.0,12160.0,11520.0,11680.0,11680.0,8
2018-01-25,11840.0,11840.0,11232.0,11712.0,11712.0,11
2018-01-26,11712.0,11712.0,11360.0,11584.0,11584.0,8
2018-01-29,11520.0,11616.0,10880.0,11200.0,11200.0,10
2018-01-30,11200.0,11200.0,9600.0,10240.0,10240.0,19
2018-01-31,10336.0,10848.0,10240.0,10464.0,10464.0,9
2018-02-01,10688.0,10880.0,9920.0,10400.0,10400.0,11
2018-02-02,10368.0,10848.0,9920.0,10144.0,10144.0,7
2018-02-05,9920.0,10560.0,9760.0,10240.0,10240.0,15
2018-02-06,10560.0,10880.0,9728.0,10240.0,10240.0,27
2018-02-07,10240.0,10784.0,9920.0,10720.0,10720.0,7
2018-02-08,10720.0,11200.0,10272.0,10496.0,10496.0,8
2018-02-09,10624.0,11040.0,10272.0,10560.0,10560.0,10
2018-02-12,10560.0,10560.0,9760.0,10080.0,10080.0,6
2018-02-13,10048.0,10560.0,9920.0,10432.0,10432.0,5
2018-02-14,10560.0,11136.0,10240.0,10816.0,10816.0,11
2018-02-15,10880.0,11520.0,10880.0,11168.0,11168.0,7
2018-02-16,11520.0,11520.0,10848.0,11008.0,11008.0,7
2018-02-20,10976.0,11040.0,10272.0,10880.0,10880.0,3
2018-02-21,10880.0,10880.0,10336.0,10688.0,10688.0,4
2018-02-22,10880.0,10880.0,10240.0,10720.0,10720.0,4
2018-02-23,8704.0,9280.0,7104.0,7968.0,7968.0,51
2018-02-26,7824.0,10144.0,7176.0,8032.0,8032.0,98
2018-02-27,8208.0,9216.0,7760.0,7968.0,7968.0,29
2018-02-28,8112.0,8112.0,7072.0,7424.0,7424.0,21
2018-03-01,7216.0,20208.0,7056.0,16960.0,16960.0,4532
2018-03-02,16000.0,16384.0,11520.0,12320.0,12320.0,536
2018-03-05,12096.0,15072.0,11601.599609375,12496.0,12496.0,458
2018-03-06,12352.0,12432.0,10432.0,12224.0,12224.0,212
2018-03-07,12112.0,13600.0,11696.0,12144.0,12144.0,379
2018-03-08,12320.0,12656.0,11600.0,11712.0,11712.0,133
2018-03-09,11712.0,12560.0,11368.0,12208.0,12208.0,113
2018-03-12,12208.0,14528.0,11896.0,13216.0,13216.0,378
2018-03-13,12208.0,14400.0,12208.0,13104.0,13104.0,194
2018-03-14,13472.0,13472.0,12416.0,12416.0,12416.0,99
2018-03-15,12448.0,13022.400390625,12176.0,12464.0,12464.0,57
2018-03-16,12432.0,12768.0,12000.0,12304.0,12304.0,51
2018-03-19,12256.0,12528.0,12016.0,12048.0,12048.0,21
2018-03-20,12080.0,12624.0,12000.0,12048.0,12048.0,30
2018-03-21,12048.0,12416.0,12048.0,12272.0,12272.0,22
2018-03-22,12208.0,12408.0,11200.0,11312.0,11312.0,38
2018-03-23,11312.0,11312.0,9760.0,9984.0,9984.0,46
2018-03-26,9936.0,9984.0,9600.0,9648.0,9648.0,33
2018-03-27,9648.0,9984.0,8561.599609375,8832.0,8832.0,31
2018-03-28,8896.0,9552.0,8208.0,8672.0,8672.0,13
2018-03-29,8960.0,9408.0,8512.0,8752.0,8752.0,62
2018-04-02,8681.599609375,8955.2001953125,8264.0,8368.0,8368.0,11
2018-04-03,8528.0,8897.599609375,8385.599609375,8512.0,8512.0,9
2018-04-04,16000.0,19072.0,12289.599609375,12464.0,12464.0,4484
2018-04-05,12208.0,14896.0,12004.7998046875,12288.0,12288.0,779
2018-04-06,12128.0,12779.2001953125,11536.0,12272.0,12272.0,85
2018-04-09,12416.0,12448.0,11241.599609375,11376.0,11376.0,99
2018-04-10,11568.0,11584.0,10960.0,11120.0,11120.0,40
2018-04-11,11008.0,11120.0,10257.599609375,10704.0,10704.0,19
2018-04-12,10896.0,10896.0,10390.400390625,10544.0,10544.0,18
2018-04-13,10560.0,10688.0,9729.599609375,10048.0,10048.0,23
2018-04-16,10080.0,10240.0,9656.0,10208.0,10208.0,18
2018-04-17,10496.0,10496.0,9840.0,9936.0,9936.0,27
2018-04-18,10080.0,10326.400390625,9840.0,10096.0,10096.0,15
2018-04-19,10080.0,10288.0,9712.0,9904.0,9904.0,32
2018-04-20,9888.0,10216.0,9680.0,9792.0,9792.0,11
2018-04-23,9792.0,10324.7998046875,9760.0,10192.0,10192.0,44
2018-04-24,10400.0,11232.0,10112.0,10432.0,10432.0,141
2018-04-25,10400.0,10696.0,9808.0,10128.0,10128.0,31
2018-04-26,10064.0,10064.0,9600.0,9840.0,9840.0,19
2018-04-27,9792.0,10216.0,9649.599609375,9952.0,9952.0,14
2018-04-30,9936.0,10264.0,9744.0,9968.0,9968.0,10
2018-05-01,9856.0,10080.0,9680.0,9904.0,9904.0,14
2018-05-02,10064.0,11504.0,9760.0,10560.0,10560.0,176
2018-05-03,10576.0,10752.0,10176.0,10224.0,10224.0,17
2018-05-04,10318.400390625,10400.0,10096.0,10320.0,10320.0,8
2018-05-07,10368.0,10476.7998046875,10160.0,10176.0,10176.0,6
2018-05-08,10240.0,11504.0,9912.0,9924.7998046875,9924.7998046875,93
2018-05-09,10416.0,10416.0,9760.0,9984.0,9984.0,30
2018-05-10,10128.0,10128.0,9760.0,9792.0,9792.0,7
2018-05-11,9984.0,9984.0,9632.0,9792.0,9792.0,8
2018-05-14,9920.0,10057.599609375,9678.400390625,9968.0,9968.0,8
2018-05-15,9760.0,10128.0,9760.0,9968.0,9968.0,8
2018-05-16,9728.0,9872.0,9280.0,9760.0,9760.0,22
2018-05-17,9680.0,10312.0,9417.599609375,9648.0,9648.0,89
2018-05-18,9552.0,10128.0,9441.599609375,9632.0,9632.0,15
2018-05-21,9840.0,9840.0,9152.0,9329.599609375,9329.599609375,17
2018-05-22,9393.599609375,9728.0,9360.0,9472.0,9472.0,5
2018-05-23,9412.7998046875,9598.400390625,9412.7998046875,9536.0,9536.0,5
2018-05-24,9584.0,9664.0,9440.0,9616.0,9616.0,9
2018-05-25,9611.2001953125,9888.0,9489.599609375,9632.0,9632.0,14
2018-05-29,9680.0,10064.0,9680.0,9936.0,9936.0,30
2018-05-30,9984.0,10048.0,9264.0,9552.0,9552.0,12
2018-05-31,9632.0,9860.7998046875,9456.0,9760.0,9760.0,16
2018-06-01,9857.599609375,10160.0,9600.0,9760.0,9760.0,18
2018-06-04,9888.0,10144.0,9809.599609375,9984.0,9984.0,14
2018-06-05,9936.0,10160.0,9808.0,10080.0,10080.0,21
2018-06-06,9987.2001953125,10880.0,9987.2001953125,10480.0,10480.0,49
2018-06-07,10667.2001953125,10672.0,10096.0,10096.0,10096.0,10
2018-06-08,10272.0,10430.400390625,9793.599609375,10032.0,10032.0,6
2018-06-11,10176.0,10352.0,9856.0,10064.0,10064.0,4
2018-06-12,10192.0,10608.0,10096.0,10608.0,10608.0,4
2018-06-13,10464.0,10464.0,9760.0,9824.0,9824.0,8
2018-06-14,10080.0,10528.0,9536.0,9968.0,9968.0,9
2018-06-15,9952.0,10480.0,9952.0,10048.0,10048.0,8
2018-06-18,10208.0,10313.599609375,9968.0,10256.0,10256.0,6
2018-06-19,10160.0,10160.0,10048.0,10144.0,10144.0,2
2018-06-20,10160.0,10292.7998046875,10016.0,10160.0,10160.0,5
2018-06-21,10128.0,10560.0,10043.2001953125,10224.0,10224.0,10
2018-06-22,10384.0,10384.0,10160.0,10256.0,10256.0,4
