Date Announced,Acquiror,AcquirorTicker,Target,Primary Asset,Primary Indication,Disease Category,Lead Stage (At Time of Deal),"Deal Value 
($B)","LTM sales
($M)","Peak Sales** 
Est ($M)",Deal value/ LTM sales,Deal value/ Peak sales,Takeout Forward P/E,90 Day Premium,Cash / Stock Deal Structure,Termination Fees,Financial Advisor (Target),Financial Advisor (Acquirer),"Target on Conference Call
",PR on Target's Website
Jul-08,Roche ,RHHBY,Genentech,Avastin,Colorectal Cancer,Oncology,Marketed,44.2913,13400,15000,3.305320896,2.952753333,N/A,-,All Cash,-,Goldman,Greenhill,No,N/A
Oct-08,Eli Lilly,LLY,ImClone Systems,Erbitux,Colorectal Cancer,Oncology,Marketed,5.97814,628.06,1500,9.518421807,3.985426667,53.9,-,All Cash,$150M,JPM ,UBS,No,N/A
Jan-09,Pfizer,PFE,Wyeth,Various,Various,Various,Marketed,64.19786,22833.91,23000,2.811514103,2.791211304,13.8,0.29,"$44B Cash
$23B Stock",$6400M,"Morgan Stanley, Evercore","BofA, Barclays, Citi, JPM, Goldman",Yes,N/A
Mar-09,Merck,MRK,Schering-Plough,Various,Various,Various,Marketed,45.7044,18502,18500,2.470241055,2.470508108,13.9,0.85,"$17B Cash
$29B Stock",$3750M,"Morgan Stanley, Goldman",JPM,Yes,N/A
Mar-10,Astellas,ALPMY,OSI Pharma,Tarceva,Non-small cell lung cancer,Oncology,Marketed,3.3555,428.15,750,7.837206586,4.474,28.2,0.79,All Cash,$125M,"Lazard, Peter Solomon, Centerview, Merrill Lynch",Citi,No,N/A
Jun-10,Celgene,BMS,Abraxis BioScience,Abraxane,Metastatic breast cancer,Oncology,Marketed,3.388,447.46,750,7.571626514,4.517333333,N/A,1.18,"$2.3B Cash
$0.6B Stock",$145M,"Lazard, Goldman, Merrill Lynch",Morgan Stanley,Yes,N/A
Aug-10,Sanofi-Aventis,SNY,Genzyme,Cerezyme,Gaucher Disease,Orphan disease,Marketed,19.3279,4292.06,4000,4.503175631,4.831975,29.8,0.38,All Cash,$575M,"Credit Suisse, Goldman","Morgan Stanley, BNP Paribas, JPM, Evercore, Societe Generale SA",No Call Held,N/A
May-11,Teva,TEVA,Cephalon,Various,Various,Various,Marketed,6.269,2800,-,2.238928571,-,N/A,0.25,All Cash,$275M,,,Yes,N/A
Nov-11,Gilead,GILD,Pharmasset,Sovaldi,Hepatitis C,Infectious disease,Phase II,11,-,4000,-,2.75,N/A,1.18,All Cash,$332M,Morgan Stanley,"Barclays, Merrill Lynch",No,N/A
Jan-12,Bristol-Myers Squibb,BMY,Inhibitex,INX0189,Hepatitis C,Infectious disease,Phase II,2.5,-,4000,-,0.625,N/A,6.62,All Cash,$76M,,,No,N/A
Jan-12,Amgen,AMGN,Micromet,Blinatumomab,ALL,Cancer,Phase II,1.2,-,300,-,4,N/A,-,All Cash,$40M,Goldman,Moelis,No Call Held,N/A
Apr-12,GlaxoSmithKline,GSK,Human Genome Sciences,Benlysta,Lupus,Autoimmune,Marketed,3.1865,151.53,1000,21.02883917,3.1865,N/A,0.91,All Cash,$115M,"Goldman, Credit Suisse","Lazard, UBS, Morgan Stanley",No Call Held,N/A
Aug-13,Amgen,AMGN,Onyx,Kyprolis,Multiple myeloma,Cancer,Marketed,9.934,512,2000,19.40234375,4.967,N/A,0.78,All Cash,303M,Centerview,Merrill Lynch,No,Yes
Nov-13,Shire,TAK,ViroPharma,Cinryze,Hereditary angioedema,Orphan disease,Marketed,3.875,400,1000,9.6875,3.875,73.4,0.66,All Cash,$327M,Goldman,"Morgan Stanley, Lazard",Yes,N/A
Jan-14,Forest,AGN,Aptalis,Canasa,Ulcerative colitis,Gastrointestinal,Marketed,2.9,688,-,4.215116279,-,33.4,-,All Cash,-,"Goldman, JPM, Evercore","Morgan Stanley, Evercore",No,Yes
Feb-14,Mallinckrodt,MCKPF,Cadence,Ofirmev,Mild to moderate pain,Pain management,Marketed,1.3,-,-,-,-,101.1,1.22,All Cash,$20M,"Lazard, Centerview",Deutsche Bank,No,N/A
Feb-14,Actavis,AGN,Forest,"Namenda
Linzess","Alzheimer's
IBS-C","Neurologic
Gastrointestinal",Marketed,25,-,-,-,-,29.9,1.09,"$7B Cash
$17B Stock",$2050M,"Morgan Stanley, Goldman, JPM","Greenhill, Merrill Lynch",Yes,Yes
Apr-14,Mallinckrodt,MCKPF,Questcor,H.P. Acthar Gel,Acute MS exacerbations,Autoimmune,Marketed,5.6,760,1500,7.368421053,3.733333333,12.2,0.53,"$1.8B Cash
$3.4B Stock",$326M,Barclays,"Centerview, Merrill Lynch",Yes,N/A
Jun-14,Merck,MRK,Idenix,IDX21437,Hepatitis C,Infectious disease,Phase I/II,3.5,-,1500,-,2.333333333,N/A,2.4,All Cash,$116M,Centerview,Credit Suisse,No Call Held,N/A
Aug-14,Roche,RHHBY,InterMune,Pirfenidone,"Idiopathic pulmonary 
Fibrosis",Orphan disease,"NDA review (US)
Marketed (EU)",8.25,-,1600,-,5.15625,N/A,1.61,All Cash,$266M,"Goldman, Centerview",Citi,No,N/A
Oct-14,Endo,NDOI,Auxilium,Xiaflex,"Dupuytren's contracture,
Peyronie's disease",Urology,Marketed,2.3,400,800,5.75,2.875,33.9,0.2,"$914M Cash
$950M Stock",$220M,"Deutsche Bank, Morgan Stanley, Houlihan Lokey","Citi, Lazard",Yes,Yes
Dec-14,Otsuka,OTSKY,Avanir,Nuedexta,Pseudobulbar affect,Neurologic,Marketed,3.5,110,500,31.81818182,7,N/A,2.26,All Cash,$90M,Centerview,Goldman,No Call Held,Yes
Dec-14,Merck,MRK,Cubist,Cubicin,"S. aureus bacteremia,
cSSSI",Infectious disease,Marketed,7.939,1370,2000,5.794890511,3.9695,47.3,0.67,All Cash,$250M,"Morgan Stanley, Goldman ","JPM, Deutsche Bank ",No,No
