Quarter,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Ticker,Total Unusual Items,Total Unusual Items Excluding Goodwill,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Rent Expense Supplemental,Rent And Landing Fees,Salaries And Wages,Earnings From Equity Interest,Total Other Finance Cost,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Insurance And Claims,Amortization,Amortization Of Intangibles Income Statement,Write Off,Other Taxes,Average Dilution Earnings,Gain On Sale Of Ppe,Minority Interests,Otherunder Preferred Stock Dividend,Securities Amortization,Gain On Sale Of Business,Earnings From Equity Interest Net Of Tax,Impairment Of Capital Assets,Preferred Stock Dividends,Net Income Discontinuous Operations,Depreciation Income Statement,Provision For Doubtful Accounts,Net Income From Tax Loss Carryforward
2024-06-30,0.0,0.209,35739000000.0,20050000000.0,8845000000.0,10274000000.0,35739000000.0,26894000000.0,-602000000.0,1562000000.0,960000000.0,20050000000.0,20050000000.0,42126000000.0,25934000000.0,4465400000.0,4457700000.0,4.49,4.5,20050000000.0,20050000000.0,20050000000.0,20050000000.0,20050000000.0,5282000000.0,25332000000.0,-602000000.0,1562000000.0,960000000.0,25934000000.0,31852000000.0,-405000000.0,16166000000.0,16091000000.0,14934000000.0,1157000000.0,1157000000.0,57786000000.0,10274000000.0,68060000000.0,68060000000.0,NVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,0.0,0.204,36906000000.0,25407000000.0,2914000000.0,9916000000.0,36906000000.0,33992000000.0,72000000.0,2074000000.0,2146000000.0,25407000000.0,25407000000.0,33503000000.0,31846000000.0,4470500000.0,4459600000.0,5.68,5.7,25407000000.0,25407000000.0,25407000000.0,25407000000.0,25407000000.0,6511000000.0,31918000000.0,72000000.0,2074000000.0,2146000000.0,31846000000.0,23587000000.0,568000000.0,8606000000.0,14413000000.0,13256000000.0,1157000000.0,1157000000.0,55433000000.0,9916000000.0,65349000000.0,65349000000.0,NVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,0.0,0.204815,28511000000.0,21963000000.0,2992000000.0,10014000000.0,28511000000.0,25519000000.0,-916000000.0,-2101000000.0,-2820000000.0,21963000000.0,21963000000.0,39097000000.0,26766000000.0,,,,,21963000000.0,21963000000.0,21963000000.0,21963000000.0,21963000000.0,5657000000.0,27620000000.0,-916000000.0,-2101000000.0,-2820000000.0,26766000000.0,29083000000.0,-3000000.0,10460000000.0,18626000000.0,17170000000.0,1456000000.0,1456000000.0,55849000000.0,10014000000.0,65863000000.0,442247000000.0,NVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-30,0.0,0.199,32756000000.0,22478000000.0,2525000000.0,9713000000.0,32756000000.0,30231000000.0,1150000000.0,2168000000.0,3318000000.0,22478000000.0,22478000000.0,31818000000.0,26913000000.0,4489000000.0,4476900000.0,5.0,5.02,22478000000.0,22478000000.0,22478000000.0,22478000000.0,22478000000.0,5585000000.0,28063000000.0,1150000000.0,2168000000.0,3318000000.0,26913000000.0,22105000000.0,-98000000.0,8128000000.0,14075000000.0,12819000000.0,1256000000.0,1256000000.0,49018000000.0,9713000000.0,58731000000.0,58731000000.0,NVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-30,0.0,0.199,26712000000.0,19428000000.0,2177000000.0,7856000000.0,26712000000.0,24535000000.0,366000000.0,281000000.0,647000000.0,19428000000.0,19428000000.0,30412000000.0,23888000000.0,4502600000.0,4490400000.0,4.32,4.33,19428000000.0,19428000000.0,19428000000.0,19428000000.0,19428000000.0,4826000000.0,24254000000.0,366000000.0,281000000.0,647000000.0,23888000000.0,22556000000.0,15000000.0,7127000000.0,15414000000.0,14342000000.0,1072000000.0,1072000000.0,46444000000.0,7856000000.0,54300000000.0,54300000000.0,NVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31,,,,,,,,,,,,,,,,4513200000.0,4499200000.0,4.39,4.4,,,,,,,,,,,,,,,,,,,,,,,NVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-30,-934416000.0,0.21,1122300000.0,-3593600000.0,54000000.0,371900000.0,-3327300000.0,-3381300000.0,146600000.0,9900000.0,156500000.0,-78416000.0,-3593600000.0,1710700000.0,-3514700000.0,258100000.0,258100000.0,-13.92,-13.92,-3593600000.0,-3593600000.0,-3593600000.0,-3593600000.0,-3593600000.0,202400000.0,-3391200000.0,146600000.0,9900000.0,156500000.0,934900000.0,1338800000.0,,966600000.0,372200000.0,,,,2273700000.0,371900000.0,2645600000.0,2645600000.0,VRTX,-4449600000.0,-4449600000.0,-4472700000.0,-23100000.0,-4449600000.0,4449100000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,-10738000.0,0.14,1419700000.0,1099600000.0,53500000.0,342600000.0,1343000000.0,1289500000.0,170800000.0,10400000.0,181200000.0,1165562000.0,1099600000.0,1474400000.0,1139500000.0,261100000.0,258200000.0,4.21,4.26,1099600000.0,1099600000.0,1099600000.0,1099600000.0,1099600000.0,179500000.0,1279100000.0,170800000.0,10400000.0,181200000.0,1216200000.0,1131800000.0,,789100000.0,342700000.0,,,,2348000000.0,342600000.0,2690600000.0,2690600000.0,VRTX,-76700000.0,-76700000.0,-107900000.0,-31200000.0,-76700000.0,76800000.0,-100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,5063611.014291,0.155803,1184700000.0,968800000.0,59000000.0,368000000.0,1217200000.0,1158200000.0,168900000.0,10600000.0,179500000.0,941363611.014291,968800000.0,1561700000.0,988500000.0,260900000.0,257700000.0,3.71,3.76,968800000.0,968800000.0,968800000.0,968800000.0,968800000.0,178800000.0,1147600000.0,168900000.0,10600000.0,179500000.0,956000000.0,1193700000.0,,824600000.0,369100000.0,,,,2149700000.0,368000000.0,2517700000.0,2517700000.0,VRTX,32500000.0,32500000.0,22700000.0,-9800000.0,32500000.0,17800000.0,-50300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-30,-6453800.0,0.122,1285100000.0,1035300000.0,42100000.0,318700000.0,1232200000.0,1190100000.0,157000000.0,10900000.0,167900000.0,1081746200.0,1035300000.0,1392500000.0,1038100000.0,260600000.0,258000000.0,3.97,4.01,1035300000.0,1035300000.0,1035300000.0,1035300000.0,1035300000.0,143900000.0,1179200000.0,157000000.0,10900000.0,167900000.0,1091000000.0,1073800000.0,,810000000.0,263800000.0,,,,2164800000.0,318700000.0,2483500000.0,2483500000.0,VRTX,-52900000.0,-52900000.0,-68800000.0,-15900000.0,-52900000.0,51700000.0,1200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
